NAME	LEN	DEPTH	TIME	TP	FP	FN	PRC	RCL	FS	DBN	PRED
RF00094_5_637	115	5	2.715	7	26	24	0.212	0.226	0.219	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	((((((((((.((......))......)))))))))).(((((..((...((....((((((..(((((.(....).)))).)....))..))))...))...))..)))))...
RF00094_5_642	115	5	3.3	6	24	25	0.2	0.194	0.197	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......))))....((((((((..((...((..((((((..(.(((((.........))).)...))...)).))))))...))..))))))))
RF00094_5_644	115	5	3.871	4	28	27	0.125	0.129	0.127	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	...((((((.((((.............)))).))))))((((((((((..((....((((((...((((.........))).)....))..))))...))...))))))))))..
RF00094_5_648	115	5	4.416	7	16	24	0.304	0.226	0.259	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..(((((((((((((....................)))))))))))))((((............(((((.(.......))).)....))....................))))..
RF00094_5_652	115	5	4.973	12	22	19	0.353	0.387	0.369	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).....((((((((((((..((..(((((((((.(((((......)..))).)...)))..)).))))))...))))))))))))
RF00094_5_654	115	5	5.528	7	28	24	0.2	0.226	0.212	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	...(((((((.((((((((((......(......))))))))))))))))))..(((((((...(((((((.......))).)..))))..)).)))).....(((....)))..
RF00094_5_657	115	5	6.094	7	16	24	0.304	0.226	0.259	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..(((((((((((((....................)))))))))))))((((............(((((.(.......))).)....))....................))))..
RF00094_5_658	115	5	6.682	5	24	26	0.172	0.161	0.167	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......))))....((((((((..((...((....((((((..(((((........)))).)....)).))))....))...))..))))))))
RF00094_5_660	115	5	7.259	10	21	21	0.323	0.323	0.323	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).......((((((((((..((..(((((((...(((((.(....).)))).).....)..)).))))))...))))))))))..
RF00094_5_661	115	5	7.803	7	24	24	0.226	0.226	0.226	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).......((((((((((..((..(((((((.(.(((((.........))).)...)))..)).))))))...))))))))))..
RF00094_5_662	115	5	8.36	7	21	24	0.25	0.226	0.237	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).......((((((((((..((....((((((..((((..........))).)....))..))))...))...))))))))))..
RF00094_5_663	115	5	8.906	7	22	24	0.241	0.226	0.233	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).......((((((((((..((....(((((((.((((..........))).)...)))..))))...))...))))))))))..
RF00094_5_665	115	5	9.463	7	26	24	0.212	0.226	0.219	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	((((((((((.((......))......)))))))))).(((((..((...((..(((((((....((((.(....)..))).).....)..)).))))))...))..)))))...
RF00094_5_666	115	5	10.042	6	25	25	0.194	0.194	0.194	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	...((((((.((((.............)))).)))))).(((((((((..((..((((((....((((.......)..)))..........)).))))))...)))))))))...
RF00094_5_667	115	5	10.604	3	26	28	0.103	0.097	0.1	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).......((((((((((..((....(((((.(.(((((..........)).)..))))..))))...))...))))))))))..
RF00094_5_669	115	5	11.14	7	16	24	0.304	0.226	0.259	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..(((((((((((((....................)))))))))))))((((............(((((.(.......))).)....))....................))))..
RF00094_5_670	115	5	11.695	8	24	23	0.25	0.258	0.254	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	...((((((((((.(((((((......(......))))))))))))))))))..((((((((...(((...........)).)....))..)).)))).....(((.....))).
RF00094_5_671	115	5	12.245	7	28	24	0.2	0.226	0.212	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	...(((((((.((((((((((......(......))))))))))))))))))..(((((((.(.(((((.(.......))).)..))))..)).)))).....(((....)))..
RF00094_5_673	115	5	12.8	7	23	24	0.233	0.226	0.23	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).....(((((((..(((.(((..(((((((....((((.........))).).....)..)).))))))).)))..))))))).
RF00094_5_674	115	5	13.365	8	23	23	0.258	0.258	0.258	..(((((((..[[[[.[[[........(((.[[.....))))))))))]]....((((((((..(((.(......)...)).)....))..)).))))........]]]]]]]..	..((((((...........))......)))).....(((((((..(((.(((..((((((((...((((.........))).)....))..)).))))))).)))..))))))).
